年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/9/7,土,,,,,,,,,,,,,,,,,,,,,,,
2019/9/8,日,,,,,,,,,,,,,,,,,,,,,,,
2019/9/9,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2019/9/10,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2019/9/11,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2019/9/12,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/9/13,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/9/14,土,,,,,,,,,,,,,,,,,,,,,,,
2019/9/15,日,,,,,,,,,,,,,,,,,,,,,,,
2019/9/16,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/9/17,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/9/18,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/9/19,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/9/20,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2019/9/21,土,,,,,,,,,,,,,,,,,,,,,,,
2019/9/22,日,,,,,,,,,,,,,,,,,,,,,,,
